observation_date,gdp_per_capita
1947-01-01,1699
1947-04-01,1711
1947-07-01,1728
1947-10-01,1790
1948-01-01,1824
1948-04-01,1863
1948-07-01,1900
1948-10-01,1899
1949-01-01,1855
1949-04-01,1823
1949-07-01,1826
1949-10-01,1802
1950-01-01,1862
1950-04-01,1919
1950-07-01,2028
1950-10-01,2096
1951-01-01,2192
1951-04-01,2236
1951-07-01,2273
1951-10-01,2293
1952-01-01,2307
1952-04-01,2306
1952-07-01,2338
1952-10-01,2410
1953-01-01,2447
1953-04-01,2461
1953-07-01,2447
1953-10-01,2403
1954-01-01,2389
1954-04-01,2384
1954-07-01,2403
1954-10-01,2445
1955-01-01,2516
1955-04-01,2557
1955-07-01,2598
1955-10-01,2626
1956-01-01,2632
1956-04-01,2658
1956-07-01,2677
1956-10-01,2718
1957-01-01,2761
1957-04-01,2762
1957-07-01,2794
1957-10-01,2754
1958-01-01,2702
1958-04-01,2717
1958-07-01,2784
1958-10-01,2850
1959-01-01,2899
1959-04-01,2957
1959-07-01,2958
1959-10-01,2965
1960-01-01,3026
1960-04-01,2999
1960-07-01,3009
1960-10-01,2968
1961-01-01,2984
1961-04-01,3030
1961-07-01,3083
1961-10-01,3140
1962-01-01,3201
1962-04-01,3224
1962-07-01,3258
1962-10-01,3262
1963-01-01,3302
1963-04-01,3334
1963-07-01,3398
1963-10-01,3435
1964-01-01,3508
1964-04-01,3543
1964-07-01,3600
1964-10-01,3614
1965-01-01,3710
1965-04-01,3764
1965-07-01,3850
1965-10-01,3953
1966-01-01,4065
1966-04-01,4101
1966-07-01,4163
1966-10-01,4220
1967-01-01,4264
1967-04-01,4278
1967-07-01,4348
1967-10-01,4417
1968-01-01,4547
1968-04-01,4661
1968-07-01,4731
1968-10-01,4803
1969-01-01,4919
1969-04-01,4985
1969-07-01,5074
1969-10-01,5099
1970-01-01,5151
1970-04-01,5214
1970-07-01,5287
1970-10-01,5281
1971-01-01,5490
1971-04-01,5576
1971-07-01,5662
1971-10-01,5705
1972-01-01,5884
1972-04-01,6041
1972-07-01,6140
1972-10-01,6306
1973-01-01,6522
1973-04-01,6680
1973-07-01,6757
1973-10-01,6940
1974-01-01,6996
1974-04-01,7163
